,date,total_rides
0,03/01/2020,624695
1,03/02/2020,1451746
2,03/03/2020,1536417
3,03/04/2020,1514612
4,03/05/2020,1501992
5,03/06/2020,1422094
6,03/07/2020,822202
7,03/08/2020,612868
8,03/09/2020,1383615
9,03/10/2020,1466021
10,03/11/2020,1428349
11,03/12/2020,1339310
12,03/13/2020,1171068
13,03/14/2020,583766
14,03/15/2020,423166
15,03/16/2020,778023
16,03/17/2020,607385
17,03/18/2020,499558
18,03/19/2020,468514
19,03/20/2020,456679
20,03/21/2020,272101
21,03/22/2020,173772
22,03/23/2020,316113
23,03/24/2020,325631
24,03/25/2020,336327
25,03/26/2020,312606
26,03/27/2020,323429
27,03/28/2020,213133
28,03/29/2020,168924
29,03/30/2020,305758
30,03/31/2020,295246
31,04/01/2020,335545
32,04/02/2020,309405
33,04/03/2020,341543
34,04/04/2020,220029
35,04/05/2020,171874
36,04/06/2020,289037
37,04/07/2020,293453
38,04/08/2020,286683
39,04/09/2020,276623
40,04/10/2020,288542
41,04/11/2020,221551
42,04/12/2020,164150
43,04/13/2020,278753
44,04/14/2020,275893
45,04/15/2020,278389
46,04/16/2020,293626
47,04/17/2020,283215
48,04/18/2020,234234
49,04/19/2020,183051
50,04/20/2020,304955
51,04/21/2020,297006
52,04/22/2020,290902
53,04/23/2020,292049
54,04/24/2020,304464
55,04/25/2020,207943
56,04/26/2020,192373
57,04/27/2020,308733
58,04/28/2020,309115
59,04/29/2020,280395
60,04/30/2020,304731
61,05/01/2020,361839
62,05/02/2020,269759
63,05/03/2020,204951
64,05/04/2020,324666
65,05/05/2020,302370
66,05/06/2020,330960
67,05/07/2020,331538
68,05/08/2020,324509
69,05/09/2020,266279
70,05/10/2020,177820
71,05/11/2020,314171
72,05/12/2020,326155
73,05/13/2020,342698
74,05/14/2020,288046
75,05/15/2020,343602
76,05/16/2020,264577
77,05/17/2020,160149
78,05/18/2020,323390
79,05/19/2020,308164
80,05/20/2020,339512
81,05/21/2020,329500
82,05/22/2020,342330
83,05/23/2020,257872
84,05/24/2020,224376
85,05/25/2020,222960
86,05/26/2020,345698
87,05/27/2020,345231
88,05/28/2020,337254
89,05/29/2020,357652
90,05/30/2020,279852
91,05/31/2020,110047
92,06/01/2020,174448
93,06/02/2020,185958
94,06/03/2020,275925
95,06/04/2020,320195
96,06/05/2020,342871
97,06/06/2020,254028
98,06/07/2020,196929
99,06/08/2020,364036
100,06/09/2020,343871
101,06/10/2020,360208
102,06/11/2020,393306
103,06/12/2020,389707
104,06/13/2020,288113
105,06/14/2020,231683
106,06/15/2020,406473
107,06/16/2020,416447
108,06/17/2020,424178
109,06/18/2020,424534
110,06/19/2020,428664
111,06/20/2020,303254
112,06/21/2020,236797
113,06/22/2020,375146
114,06/23/2020,430780
115,06/24/2020,419695
116,06/25/2020,443810
117,06/26/2020,405642
118,06/27/2020,339450
119,06/28/2020,258659
120,06/29/2020,412674
121,06/30/2020,439345
122,07/01/2020,476667
123,07/02/2020,469930
124,07/03/2020,400019
125,07/04/2020,282979
126,07/05/2020,251975
127,07/06/2020,444371
128,07/07/2020,447818
129,07/08/2020,451737
130,07/09/2020,451231
131,07/10/2020,467755
132,07/11/2020,345793
133,07/12/2020,265143
134,07/13/2020,458817
135,07/14/2020,465137
136,07/15/2020,443442
137,07/16/2020,461200
138,07/17/2020,477217
139,07/18/2020,328766
140,07/19/2020,229175
141,07/20/2020,456665
142,07/21/2020,446291
143,07/22/2020,459281
144,07/23/2020,472371
145,07/24/2020,479293
146,07/25/2020,345023
147,07/26/2020,253401
148,07/27/2020,439747
149,07/28/2020,468120
150,07/29/2020,457611
151,07/30/2020,463888
152,07/31/2020,502625
153,08/01/2020,353358
154,08/02/2020,258735
155,08/03/2020,476580
156,08/04/2020,483887
157,08/05/2020,476716
158,08/06/2020,480360
159,08/07/2020,490993
160,08/08/2020,351399
161,08/09/2020,268912
162,08/10/2020,347314
163,08/11/2020,447590
164,08/12/2020,460419
165,08/13/2020,464858
166,08/14/2020,470964
167,08/15/2020,322791
168,08/16/2020,262091
169,08/17/2020,452115
170,08/18/2020,468444
171,08/19/2020,476488
172,08/20/2020,478042
173,08/21/2020,487667
174,08/22/2020,349358
175,08/23/2020,260860
176,08/24/2020,448045
177,08/25/2020,462740
178,08/26/2020,470301
179,08/27/2020,467173
180,08/28/2020,477602
181,08/29/2020,348750
182,08/30/2020,268189
183,08/31/2020,468752
184,09/01/2020,477298
185,09/02/2020,503014
186,09/03/2020,519924
187,09/04/2020,516173
188,09/05/2020,373747
189,09/06/2020,259284
190,09/07/2020,294383
191,09/08/2020,440412
192,09/09/2020,481333
193,09/10/2020,488623
194,09/11/2020,496458
195,09/12/2020,331365
196,09/13/2020,288043
197,09/14/2020,473987
198,09/15/2020,490337
199,09/16/2020,494967
200,09/17/2020,494158
201,09/18/2020,508360
202,09/19/2020,375371
203,09/20/2020,277287
204,09/21/2020,473248
205,09/22/2020,491406
206,09/23/2020,495823
207,09/24/2020,491267
208,09/25/2020,519059
209,09/26/2020,376074
210,09/27/2020,279251
211,09/28/2020,458854
212,09/29/2020,490936
213,09/30/2020,489491
214,10/01/2020,510298
215,10/02/2020,532077
216,10/03/2020,375693
217,10/04/2020,280341
218,10/05/2020,490759
219,10/06/2020,500930
220,10/07/2020,505352
221,10/08/2020,508834
222,10/09/2020,519386
223,10/10/2020,386704
224,10/11/2020,284438
225,10/12/2020,417560
226,10/13/2020,505143
227,10/14/2020,507330
228,10/15/2020,496312
229,10/16/2020,503051
230,10/17/2020,365801
231,10/18/2020,242723
232,10/19/2020,458848
233,10/20/2020,473902
234,10/21/2020,489128
235,10/22/2020,486836
236,10/23/2020,455246
237,10/24/2020,371359
238,10/25/2020,255538
239,10/26/2020,449442
240,10/27/2020,458073
241,10/28/2020,484376
242,10/29/2020,469702
243,10/30/2020,507004
244,10/31/2020,344965
245,11/01/2020,235830
246,11/02/2020,455842
247,11/03/2020,467464
248,11/04/2020,458051
249,11/05/2020,470270
250,11/06/2020,486006
251,11/07/2020,353127
252,11/08/2020,260737
253,11/09/2020,465224
254,11/10/2020,451505
255,11/11/2020,433957
256,11/12/2020,463993
257,11/13/2020,464889
258,11/14/2020,311191
259,11/15/2020,212053
260,11/16/2020,422951
261,11/17/2020,420728
262,11/18/2020,428576
263,11/19/2020,440834
264,11/20/2020,446904
265,11/21/2020,307051
266,11/22/2020,221488
267,11/23/2020,422000
268,11/24/2020,399619
269,11/25/2020,399491
270,11/26/2020,176309
271,11/27/2020,328570
272,11/28/2020,296001
273,11/29/2020,221958
274,11/30/2020,386227
275,12/01/2020,429270
276,12/02/2020,427528
277,12/03/2020,443437
