,date,total_rides
0,07/31/2025,779352
1,07/30/2025,844190
2,07/29/2025,849382
3,07/28/2025,776099
4,07/27/2025,379212
5,07/26/2025,502981
6,07/25/2025,745580
7,07/24/2025,865182
8,07/23/2025,895107
9,07/22/2025,910862
10,07/21/2025,805422
11,07/20/2025,436498
12,07/19/2025,532514
13,07/18/2025,791115
14,07/17/2025,865378
15,07/16/2025,872778
16,07/15/2025,889815
17,07/14/2025,772460
18,07/13/2025,383549
19,07/12/2025,502806
20,07/11/2025,799860
21,07/10/2025,863296
22,07/09/2025,854094
23,07/08/2025,850079
24,07/07/2025,779008
25,07/06/2025,418118
26,07/05/2025,520078
27,07/04/2025,683829
28,07/03/2025,832628
29,07/02/2025,879394
30,07/01/2025,828247
31,06/30/2025,805081
32,06/29/2025,418487
33,06/28/2025,561442
34,06/27/2025,818701
35,06/26/2025,874630
36,06/25/2025,879103
37,06/24/2025,872209
38,06/23/2025,818252
39,06/22/2025,440251
40,06/21/2025,582416
41,06/20/2025,780270
42,06/19/2025,559471
43,06/18/2025,917742
44,06/17/2025,942624
45,06/16/2025,835485
46,06/15/2025,453988
47,06/14/2025,637639
48,06/13/2025,844507
49,06/12/2025,919015
50,06/11/2025,989969
51,06/10/2025,993039
52,06/09/2025,892025
53,06/08/2025,480832
54,06/07/2025,702939
55,06/06/2025,934726
56,06/05/2025,1005419
57,06/04/2025,1007695
58,06/03/2025,1003751
59,06/02/2025,897160
60,06/01/2025,460841
61,05/31/2025,517173
62,05/30/2025,838940
63,05/29/2025,945291
64,05/28/2025,866476
65,05/27/2025,902563
66,05/26/2025,430915
67,05/25/2025,475580
68,05/24/2025,555120
69,05/23/2025,849680
70,05/22/2025,914945
71,05/21/2025,903281
72,05/20/2025,978671
73,05/19/2025,886309
74,05/18/2025,444507
75,05/17/2025,569220
76,05/16/2025,862788
77,05/15/2025,983105
78,05/14/2025,971537
79,05/13/2025,878235
80,05/12/2025,871473
81,05/11/2025,424734
82,05/10/2025,584045
83,05/09/2025,860094
84,05/08/2025,972699
85,05/07/2025,990352
86,05/06/2025,994948
87,05/05/2025,871918
88,05/04/2025,386806
89,05/03/2025,587527
90,05/02/2025,889355
91,05/01/2025,984414
92,04/30/2025,1002649
93,04/29/2025,985418
94,04/28/2025,896431
95,04/27/2025,471417
96,04/26/2025,568584
97,04/25/2025,915541
98,04/24/2025,1009002
99,04/23/2025,1021217
100,04/22/2025,1008592
101,04/21/2025,847607
102,04/20/2025,417490
103,04/19/2025,571457
104,04/18/2025,811280
105,04/17/2025,890971
106,04/16/2025,870440
107,04/15/2025,888521
108,04/14/2025,821659
109,04/13/2025,482623
110,04/12/2025,566100
111,04/11/2025,779500
112,04/10/2025,965263
113,04/09/2025,1009664
114,04/08/2025,1005566
115,04/07/2025,825030
116,04/06/2025,502293
117,04/05/2025,774771
118,04/04/2025,943046
119,04/03/2025,995811
120,04/02/2025,998501
121,04/01/2025,1021760
122,03/31/2025,913648
123,03/30/2025,654109
124,03/29/2025,1001502
125,03/28/2025,954287
126,03/27/2025,1030291
127,03/26/2025,995374
128,03/25/2025,976969
129,03/24/2025,846229
130,03/23/2025,438426
131,03/22/2025,606137
132,03/21/2025,862396
133,03/20/2025,945371
134,03/19/2025,982290
135,03/18/2025,984001
136,03/17/2025,884084
137,03/16/2025,392546
138,03/15/2025,587141
139,03/14/2025,816894
140,03/13/2025,895852
141,03/12/2025,964974
142,03/11/2025,961481
143,03/10/2025,850492
144,03/09/2025,403281
145,03/08/2025,518204
146,03/07/2025,833344
147,03/06/2025,886031
148,03/05/2025,857164
149,03/04/2025,922027
150,03/03/2025,845932
151,03/02/2025,371400
152,03/01/2025,547148
153,02/28/2025,832728
154,02/27/2025,921670
155,02/26/2025,950592
156,02/25/2025,939489
157,02/24/2025,836016
158,02/23/2025,402614
159,02/22/2025,481249
160,02/21/2025,751737
161,02/20/2025,801099
162,02/19/2025,828007
163,02/18/2025,864600
164,02/17/2025,470019
165,02/16/2025,362598
166,02/15/2025,436744
167,02/14/2025,749057
168,02/13/2025,864730
169,02/12/2025,400019
170,02/11/2025,642559
171,02/10/2025,813898
172,02/09/2025,382908
173,02/08/2025,435273
174,02/07/2025,788390
175,02/06/2025,754438
176,02/05/2025,871713
177,02/04/2025,903736
178,02/03/2025,768376
179,02/02/2025,376308
180,02/01/2025,522066
181,01/31/2025,708480
182,01/30/2025,852549
183,01/29/2025,875444
184,01/28/2025,868155
185,01/27/2025,746991
186,01/26/2025,370547
187,01/25/2025,480270
188,01/24/2025,735474
189,01/23/2025,790844
190,01/22/2025,753397
191,01/21/2025,734962
192,01/20/2025,428332
193,01/19/2025,373644
194,01/18/2025,505036
195,01/17/2025,689334
196,01/16/2025,813277
197,01/15/2025,848849
198,01/14/2025,875041
199,01/13/2025,777459
200,01/12/2025,357896
201,01/11/2025,407541
202,01/10/2025,687296
203,01/09/2025,608326
204,01/08/2025,667710
205,01/07/2025,338248
206,01/06/2025,146288
207,01/05/2025,330915
208,01/04/2025,411075
209,01/03/2025,611057
210,01/02/2025,632541
211,01/01/2025,299949
212,12/31/2024,572979
213,12/30/2024,587985
214,12/29/2024,364087
215,12/28/2024,376663
216,12/27/2024,541662
217,12/26/2024,462407
218,12/25/2024,175194
219,12/24/2024,384249
220,12/23/2024,547647
221,12/22/2024,355194
222,12/21/2024,426617
223,12/20/2024,682160
224,12/19/2024,795833
