,date,total_rides
0,07/31/2025,16931
1,07/30/2025,25247
2,07/29/2025,25959
3,07/28/2025,25206
4,07/27/2025,26503
5,07/26/2025,50460
6,07/25/2025,23975
7,07/24/2025,28846
8,07/23/2025,28429
9,07/22/2025,30017
10,07/21/2025,26807
11,07/20/2025,38710
12,07/19/2025,48022
13,07/18/2025,30154
14,07/17/2025,24462
15,07/16/2025,25804
16,07/15/2025,25736
17,07/14/2025,18144
18,07/13/2025,39024
19,07/12/2025,46785
20,07/11/2025,27830
21,07/10/2025,23243
22,07/09/2025,26277
23,07/08/2025,22495
24,07/07/2025,20896
25,07/06/2025,44631
26,07/05/2025,47914
27,07/04/2025,20597
28,07/03/2025,26833
29,07/02/2025,24779
30,07/01/2025,20551
31,06/30/2025,25024
32,06/29/2025,39683
33,06/28/2025,36184
34,06/27/2025,22178
35,06/26/2025,21697
36,06/25/2025,23184
37,06/24/2025,23180
38,06/23/2025,23031
39,06/22/2025,27739
40,06/21/2025,49431
41,06/20/2025,31265
42,06/19/2025,30709
43,06/18/2025,22061
44,06/17/2025,18881
45,06/16/2025,17548
46,06/15/2025,17874
47,06/14/2025,12111
48,06/13/2025,26146
49,06/12/2025,28863
50,06/11/2025,28817
51,06/10/2025,17879
52,06/09/2025,16153
53,06/08/2025,31991
54,06/07/2025,21267
55,06/06/2025,26889
56,06/05/2025,30369
57,06/04/2025,27075
58,06/03/2025,25473
59,06/02/2025,21365
60,06/01/2025,25951
61,05/31/2025,23088
62,05/30/2025,21748
63,05/29/2025,19139
64,05/28/2025,16624
65,05/27/2025,22741
66,05/26/2025,46216
67,05/25/2025,37417
68,05/24/2025,30047
69,05/23/2025,17280
70,05/22/2025,12223
71,05/21/2025,14226
72,05/20/2025,24020
73,05/19/2025,22319
74,05/18/2025,32219
75,05/17/2025,36573
76,05/16/2025,19360
77,05/15/2025,20663
78,05/14/2025,13814
79,05/13/2025,17799
80,05/12/2025,22167
81,05/11/2025,39825
82,05/10/2025,33570
83,05/09/2025,11027
84,05/08/2025,22103
85,05/07/2025,24345
86,05/06/2025,15400
87,05/05/2025,12625
88,05/04/2025,14876
89,05/03/2025,34885
90,05/02/2025,26477
91,05/01/2025,23425
92,04/30/2025,24957
93,04/29/2025,25355
94,04/28/2025,23071
95,04/27/2025,18205
96,04/26/2025,16554
97,04/25/2025,25189
98,04/24/2025,25532
99,04/23/2025,24119
100,04/22/2025,24292
101,04/21/2025,16346
102,04/20/2025,25105
103,04/19/2025,42002
104,04/18/2025,32966
105,04/17/2025,46336
106,04/16/2025,21715
107,04/15/2025,33553
108,04/14/2025,22569
109,04/13/2025,18840
110,04/12/2025,7610
111,04/11/2025,10724
112,04/10/2025,15601
113,04/09/2025,16875
114,04/08/2025,15901
115,04/07/2025,11417
116,04/06/2025,12603
117,04/05/2025,10478
118,04/04/2025,17092
119,04/03/2025,16395
120,04/02/2025,15725
121,04/01/2025,16816
122,03/31/2025,15458
123,03/30/2025,9953
124,03/29/2025,30415
125,03/28/2025,16690
126,03/27/2025,17208
127,03/26/2025,15914
128,03/25/2025,18424
129,03/24/2025,10502
130,03/23/2025,13236
131,03/22/2025,17662
132,03/21/2025,14505
133,03/20/2025,14467
134,03/19/2025,20126
135,03/18/2025,19687
136,03/17/2025,12667
137,03/16/2025,10682
138,03/15/2025,14205
