"service_date","day_type","bus","rail_boardings","total_rides"
"03/01/2020","U","357,257","267,438","624,695"
"03/02/2020","W","785,700","666,046","1,451,746"
"03/03/2020","W","834,640","701,777","1,536,417"
"03/04/2020","W","815,420","699,192","1,514,612"
"03/05/2020","W","803,260","698,732","1,501,992"
"03/06/2020","W","767,084","655,010","1,422,094"
"03/07/2020","A","455,672","366,530","822,202"
"03/08/2020","U","343,291","269,577","612,868"
"03/09/2020","W","736,013","647,602","1,383,615"
"03/10/2020","W","787,025","678,996","1,466,021"
"03/11/2020","W","767,610","660,739","1,428,349"
"03/12/2020","W","737,628","601,682","1,339,310"
"03/13/2020","W","674,594","496,474","1,171,068"
"03/14/2020","A","347,925","235,841","583,766"
"03/15/2020","U","256,591","166,575","423,166"
"03/16/2020","W","493,179","284,844","778,023"
"03/17/2020","W","390,091","217,294","607,385"
"03/18/2020","W","320,242","179,316","499,558"
"03/19/2020","W","305,501","163,013","468,514"
"03/20/2020","W","303,882","152,797","456,679"
"03/21/2020","A","185,406","86,695","272,101"
"03/22/2020","U","113,282","60,490","173,772"
"03/23/2020","W","212,121","103,992","316,113"
"03/24/2020","W","220,319","105,312","325,631"
"03/25/2020","W","229,414","106,913","336,327"
"03/26/2020","W","211,746","100,860","312,606"
"03/27/2020","W","220,715","102,714","323,429"
"03/28/2020","A","144,561","68,572","213,133"
"03/29/2020","U","111,188","57,736","168,924"
"03/30/2020","W","208,762","96,996","305,758"
"03/31/2020","W","200,537","94,709","295,246"
"04/01/2020","W","235,503","100,042","335,545"
"04/02/2020","W","214,222","95,183","309,405"
"04/03/2020","W","240,528","101,015","341,543"
"04/04/2020","A","154,302","65,727","220,029"
"04/05/2020","U","118,701","53,173","171,874"
"04/06/2020","W","199,323","89,714","289,037"
"04/07/2020","W","202,629","90,824","293,453"
"04/08/2020","W","197,789","88,894","286,683"
"04/09/2020","W","189,898","86,725","276,623"
"04/10/2020","W","202,934","85,608","288,542"
"04/11/2020","A","161,743","59,808","221,551"
"04/12/2020","U","117,907","46,243","164,150"
"04/13/2020","W","199,679","79,074","278,753"
"04/14/2020","W","196,277","79,616","275,893"
"04/15/2020","W","199,545","78,844","278,389"
"04/16/2020","W","213,862","79,764","293,626"
"04/17/2020","W","205,280","77,935","283,215"
"04/18/2020","A","175,887","58,347","234,234"
"04/19/2020","U","135,539","47,512","183,051"
