Date,Boardings
07/31/2025,16931
07/30/2025,25247
07/29/2025,25959
07/28/2025,25206
07/27/2025,26503
07/26/2025,50460
07/25/2025,23975
07/24/2025,28846
07/23/2025,28429
07/22/2025,30017
07/21/2025,26807
07/20/2025,38710
07/19/2025,48022
07/18/2025,30154
07/17/2025,24462
07/16/2025,25804
07/15/2025,25736
07/14/2025,18144
07/13/2025,39024
07/12/2025,46785
07/11/2025,27830
07/10/2025,23243
07/09/2025,26277
07/08/2025,22495
07/07/2025,20896
07/06/2025,44631
07/05/2025,47914
07/04/2025,20597
07/03/2025,26833
07/02/2025,24779
07/01/2025,20551
06/30/2025,25024
06/29/2025,39683
06/28/2025,36184
06/27/2025,22178
06/26/2025,21697
06/25/2025,23184
06/24/2025,23180
06/23/2025,23031
06/22/2025,27739
06/21/2025,49431
06/20/2025,31265
06/19/2025,30709
06/18/2025,22061
06/17/2025,18881
06/16/2025,17548
06/15/2025,17874
06/14/2025,12111
06/13/2025,26146
06/12/2025,28863
06/11/2025,28817
06/10/2025,17879
06/09/2025,16153
06/08/2025,31991
06/07/2025,21267
06/06/2025,26889
06/05/2025,30369
06/04/2025,27075
06/03/2025,25473
06/02/2025,21365
06/01/2025,25951
05/31/2025,23088
05/30/2025,21748
05/29/2025,19139
05/28/2025,16624
05/27/2025,22741
05/26/2025,46216
05/25/2025,37417
05/24/2025,30047
05/23/2025,17280
05/22/2025,12223
05/21/2025,14226
05/20/2025,24020
05/19/2025,22319
05/18/2025,32219
05/17/2025,36573
05/16/2025,19360
05/15/2025,20663
05/14/2025,13814
05/13/2025,17799
05/12/2025,22167
05/11/2025,39825
05/10/2025,33570
05/09/2025,11027
05/08/2025,22103
05/07/2025,24345
05/06/2025,15400
05/05/2025,12625
05/04/2025,14876
05/03/2025,34885
05/02/2025,26477
05/01/2025,23425
04/30/2025,24957
04/29/2025,25355
04/28/2025,23071
04/27/2025,18205
04/26/2025,16554
04/25/2025,25189
04/24/2025,25532
04/23/2025,24119
04/22/2025,24292
04/21/2025,16346
04/20/2025,25105
04/19/2025,42002
04/18/2025,32966
04/17/2025,46336
04/16/2025,21715
04/15/2025,33553
04/14/2025,22569
04/13/2025,18840
04/12/2025,7610
04/11/2025,10724
04/10/2025,15601
04/09/2025,16875
04/08/2025,15901
04/07/2025,11417
04/06/2025,12603
04/05/2025,10478
04/04/2025,17092
04/03/2025,16395
04/02/2025,15725
04/01/2025,16816
03/31/2025,15458
03/30/2025,9953
03/29/2025,30415
03/28/2025,16690
03/27/2025,17208
03/26/2025,15914
03/25/2025,18424
03/24/2025,10502
03/23/2025,13236
03/22/2025,17662
03/21/2025,14505
03/20/2025,14467
03/19/2025,20126
03/18/2025,19687
03/17/2025,12667
03/16/2025,10682
03/15/2025,14205
03/14/2025,15897
03/13/2025,16271
03/12/2025,16685
03/11/2025,19179
03/10/2025,17092
03/09/2025,11771
03/08/2025,11956
03/07/2025,12296
03/06/2025,15070
03/05/2025,12333
03/04/2025,16135
03/03/2025,12585
03/02/2025,6881
03/01/2025,15766
02/28/2025,13914
02/27/2025,13739
02/26/2025,16929
02/25/2025,15489
02/24/2025,12943
02/23/2025,10157
02/22/2025,9807
02/21/2025,10002
02/20/2025,11657
02/19/2025,12411
02/18/2025,11989
02/17/2025,6651
02/16/2025,4334
02/15/2025,6783
02/14/2025,11945
02/13/2025,12156
02/12/2025,11786
02/11/2025,13117
02/10/2025,12112
02/09/2025,4852
02/08/2025,8408
02/07/2025,12308
02/06/2025,10409
02/05/2025,13611
02/04/2025,14625
02/03/2025,12521
02/02/2025,6056
02/01/2025,9308
01/31/2025,9472
01/30/2025,13367
01/29/2025,14313
01/28/2025,13867
01/27/2025,12014
01/26/2025,7194
01/25/2025,7592
01/24/2025,10271
01/23/2025,12062
01/22/2025,10771
01/21/2025,10203
01/20/2025,4306
01/19/2025,5762
01/18/2025,8752
01/17/2025,11201
01/16/2025,12512
01/15/2025,12995
01/14/2025,12932
01/13/2025,12083
01/12/2025,7991
01/11/2025,7132
01/10/2025,10909
01/09/2025,11229
01/08/2025,12496
01/07/2025,12021
01/06/2025,10745
01/05/2025,6719
01/04/2025,8163
01/03/2025,13020
01/02/2025,13639
01/01/2025,5316
12/31/2024,16022
12/30/2024,21023
12/29/2024,15366
12/28/2024,7488
12/27/2024,16089
12/26/2024,13929
12/25/2024,5429
12/24/2024,5974
12/23/2024,9922
12/22/2024,5859
12/21/2024,7218
12/20/2024,9820
12/19/2024,14482
12/18/2024,14695
12/17/2024,16732
