Date,Whitehall Terminal,St. George Terminal
03/01/2020,15965,14925
03/02/2020,30952,30793
03/03/2020,29396,28838
03/04/2020,30430,29924
03/05/2020,30586,30242
03/06/2020,27294,27161
03/07/2020,19073,18573
03/08/2020,16584,15232
03/09/2020,30643,30348
03/10/2020,27526,27012
03/11/2020,27151,26522
03/12/2020,23962,23564
03/13/2020,21520,20984
03/14/2020,12761,11618
03/15/2020,9629,8462
03/16/2020,14664,14309
03/17/2020,12314,11863
03/18/2020,11456,11189
03/19/2020,9817,9575
03/20/2020,9302,8841
03/21/2020,4975,4584
03/22/2020,3510,3195
03/23/2020,5643,5527
03/24/2020,6044,5737
03/25/2020,5475,5422
03/26/2020,5616,5302
03/27/2020,5400,5264
03/28/2020,3042,2827
03/29/2020,2600,2383
03/30/2020,4448,4393
03/31/2020,4097,3995
04/01/2020,4273,4167
04/02/2020,4125,3916
04/03/2020,3981,3821
04/04/2020,2545,2317
04/05/2020,2259,2034
04/06/2020,3724,3626
04/07/2020,3653,3469
04/08/2020,2767,3478
04/09/2020,2300,3256
04/10/2020,2171,3298
04/11/2020,1659,2453
04/12/2020,1494,2078
04/13/2020,2209,3049
04/14/2020,2593,3691
04/15/2020,2761,3649
04/16/2020,2794,3696
04/17/2020,2780,3709
04/18/2020,1700,2307
04/19/2020,1769,2263
04/20/2020,2696,3805
04/21/2020,2585,3396
04/22/2020,2965,3853
04/23/2020,2619,3743
04/24/2020,2790,3602
04/25/2020,2354,2959
04/26/2020,1656,2078
04/27/2020,2879,3820
04/28/2020,3279,4120
04/29/2020,3128,3993
04/30/2020,2836,3640
05/01/2020,4036,4015
05/02/2020,3641,3292
05/03/2020,3144,2765
05/04/2020,4491,4387
05/05/2020,4417,4241
05/06/2020,4268,4029
05/07/2020,4708,4534
05/08/2020,4456,4192
05/09/2020,3164,3055
05/10/2020,3443,3118
05/11/2020,4387,4289
05/12/2020,4467,4440
05/13/2020,4416,4607
05/14/2020,4527,4587
05/15/2020,4777,4884
05/16/2020,4132,3872
05/17/2020,3374,3068
05/18/2020,4932,4792
05/19/2020,5102,4836
05/20/2020,5051,4854
05/21/2020,5246,4973
05/22/2020,5384,5033
05/23/2020,3291,3062
05/24/2020,3973,3614
05/25/2020,4096,3936
05/26/2020,5704,5518
05/27/2020,6056,5690
05/28/2020,5610,5290
05/29/2020,5650,5384
05/30/2020,4396,4011
05/31/2020,4037,3693
06/01/2020,6280,5815
06/02/2020,6462,5482
06/03/2020,5678,5359
06/04/2020,6006,5621
06/05/2020,5697,5423
06/06/2020,4449,4104
06/07/2020,4324,3926
06/08/2020,6938,6595
06/09/2020,7267,6794
06/10/2020,7526,7038
06/11/2020,6632,6225
06/12/2020,7785,7368
06/13/2020,6033,5420
06/14/2020,5242,4854
06/15/2020,7560,7197
06/16/2020,7791,7371
06/17/2020,7953,7497
06/18/2020,7828,7369
06/19/2020,8395,7968
06/20/2020,6149,5681
06/21/2020,5773,4969
06/22/2020,8435,8160
06/23/2020,8675,8096
06/24/2020,8721,8231
06/25/2020,8927,8340
06/26/2020,9183,8596
06/27/2020,6118,5500
06/28/2020,5941,5336
06/29/2020,9047,8619
06/30/2020,9054,8470
07/01/2020,9124,8466
07/02/2020,9744,9306
07/03/2020,7736,7177
07/04/2020,7901,7140
07/05/2020,6614,6010
07/06/2020,9041,8548
07/07/2020,9729,9106
07/08/2020,9612,9019
07/09/2020,10237,9825
07/10/2020,8008,7476
07/11/2020,6728,6237
07/12/2020,7523,6876
07/13/2020,9743,9331
07/14/2020,10265,9822
07/15/2020,9962,9375
07/16/2020,10486,9925
07/17/2020,9822,9069
07/18/2020,8209,7721
07/19/2020,6521,5935
07/20/2020,9319,8916
07/21/2020,10264,9737
07/22/2020,10090,9314
07/23/2020,9735,9134
07/24/2020,9733,9296
07/25/2020,8826,8296
07/26/2020,7268,6685
07/27/2020,10094,9658
07/28/2020,10052,9538
07/29/2020,10743,10212
07/30/2020,10465,9935
07/31/2020,10350,9713
08/01/2020,9285,8644
08/02/2020,6943,6459
08/03/2020,10656,10146
08/04/2020,6639,6679
08/05/2020,11116,10529
08/06/2020,11088,10299
08/07/2020,9992,10065
08/08/2020,6975,8149
08/09/2020,6877,7367
08/10/2020,9124,10515
08/11/2020,8995,10354
08/12/2020,8533,9884
08/13/2020,8728,9539
08/14/2020,11336,10915
08/15/2020,9501,7860
08/16/2020,5816,5364
08/17/2020,11244,9698
08/18/2020,11698,10391
08/19/2020,10536,11162
08/20/2020,13069,10323
08/21/2020,12657,11149
08/22/2020,10300,8210
08/23/2020,9105,6610
08/24/2020,13231,10401
08/25/2020,10806,9609
08/26/2020,11502,11351
08/27/2020,10663,10545
08/28/2020,10968,10965
08/29/2020,7201,6940
08/30/2020,8908,8719
08/31/2020,10658,10441
09/01/2020,10682,10424
09/02/2020,10165,9922
09/03/2020,10996,10796
09/04/2020,11629,11561
09/05/2020,10396,10098
09/06/2020,10040,9312
09/07/2020,8766,8678
09/08/2020,11188,11101
09/09/2020,11296,11210
09/10/2020,10024,9674
09/11/2020,12107,12258
09/12/2020,10216,9813
09/13/2020,8033,7404
09/14/2020,10864,10605
09/15/2020,11405,11136
09/16/2020,11063,10786
09/17/2020,11216,11044
09/18/2020,11617,11543
09/19/2020,9712,9460
09/20/2020,7783,7405
09/21/2020,11005,10777
09/22/2020,11207,11086
09/23/2020,11471,11274
